model,prompt_id,trial,composite_score,output_tokens,error,judge_error
deepseek/deepseek-chat,factual_q1,0,4.83,39,,
deepseek/deepseek-chat,factual_q1,1,4.83,39,,
deepseek/deepseek-chat,factual_q1,2,4.83,39,,
deepseek/deepseek-chat,reasoning_q1,0,4.83,228,,
deepseek/deepseek-chat,reasoning_q1,1,4.83,211,,
deepseek/deepseek-chat,reasoning_q1,2,4.83,166,,
deepseek/deepseek-chat,coding_q1,0,4.83,426,,
deepseek/deepseek-chat,coding_q1,1,4.83,424,,
deepseek/deepseek-chat,coding_q1,2,4.83,430,,
deepseek/deepseek-chat,hallucination_q1,0,4.67,259,,
deepseek/deepseek-chat,hallucination_q1,1,4.83,308,,
deepseek/deepseek-chat,hallucination_q1,2,4.83,208,,
deepseek/deepseek-chat,summarization_q1,0,4.0,69,,
deepseek/deepseek-chat,summarization_q1,1,4.17,66,,
deepseek/deepseek-chat,summarization_q1,2,4.0,61,,
deepseek/deepseek-chat,instruction_q1,0,4.67,103,,
deepseek/deepseek-chat,instruction_q1,1,4.83,101,,
deepseek/deepseek-chat,instruction_q1,2,4.83,114,,
deepseek/deepseek-chat,agentic_q1,0,4.33,29,,
deepseek/deepseek-chat,agentic_q1,1,4.33,29,,
deepseek/deepseek-chat,agentic_q1,2,4.33,29,,
