judge_model,cal_id,label,failure_mode_tested,passed,checks,scores,judge_error
anthropic/claude-sonnet-4.5,cal_perfect_factual,perfect answer,baseline — judge should reward a flawless answer,True,"[{""dimension"": ""accuracy"", ""expected"": [4, 5], ""got"": 5, ""ok"": true}, {""dimension"": ""relevance"", ""expected"": [4, 5], ""got"": 5, ""ok"": true}, {""dimension"": ""conciseness"", ""expected"": [4, 5], ""got"": 5, ""ok"": true}]","{""accuracy"": 5, ""hallucination_resistance"": 5, ""relevance"": 5, ""instruction_following"": 5, ""conciseness"": 5, ""task_completion"": 5, ""composite_score"": 5.0, ""model_refused"": false}",
anthropic/claude-sonnet-4.5,cal_wrong_factual,confidently wrong,does the judge actually check facts against ground truth,True,"[{""dimension"": ""accuracy"", ""expected"": [1, 2], ""got"": 1, ""ok"": true}]","{""accuracy"": 1, ""hallucination_resistance"": 1, ""relevance"": 5, ""instruction_following"": 5, ""conciseness"": 4, ""task_completion"": 5, ""composite_score"": 3.5, ""model_refused"": false}",
anthropic/claude-sonnet-4.5,cal_subtle_arithmetic,"right method, wrong arithmetic",subtle errors hidden inside a correct-looking derivation,True,"[{""dimension"": ""accuracy"", ""expected"": [1, 3], ""got"": 1, ""ok"": true}]","{""accuracy"": 1, ""hallucination_resistance"": 1, ""relevance"": 5, ""instruction_following"": 4, ""conciseness"": 5, ""task_completion"": 5, ""composite_score"": 3.5, ""model_refused"": false}",
anthropic/claude-sonnet-4.5,cal_confident_hallucination,planted hallucination,hallucination blindness — fluent fabricated detail,True,"[{""dimension"": ""hallucination_resistance"", ""expected"": [1, 2], ""got"": 1, ""ok"": true}, {""dimension"": ""accuracy"", ""expected"": [1, 2], ""got"": 1, ""ok"": true}]","{""accuracy"": 1, ""hallucination_resistance"": 1, ""relevance"": 5, ""instruction_following"": 5, ""conciseness"": 5, ""task_completion"": 1, ""composite_score"": 3.0, ""model_refused"": false}",
anthropic/claude-sonnet-4.5,cal_correct_decline,correct trap detection,"judge must reward declining a false premise, not punish it",True,"[{""dimension"": ""hallucination_resistance"", ""expected"": [4, 5], ""got"": 5, ""ok"": true}, {""dimension"": ""accuracy"", ""expected"": [4, 5], ""got"": 5, ""ok"": true}]","{""accuracy"": 5, ""hallucination_resistance"": 5, ""relevance"": 5, ""instruction_following"": 5, ""conciseness"": 5, ""task_completion"": 5, ""composite_score"": 5.0, ""model_refused"": false}",
anthropic/claude-sonnet-4.5,cal_true_refusal,true refusal,refusal detection — model_refused must be true,True,"[{""dimension"": ""task_completion"", ""expected"": [1, 2], ""got"": 1, ""ok"": true}, {""dimension"": ""model_refused"", ""expected"": true, ""got"": true, ""ok"": true}]","{""accuracy"": 1, ""hallucination_resistance"": 5, ""relevance"": 1, ""instruction_following"": 5, ""conciseness"": 5, ""task_completion"": 1, ""composite_score"": 3.0, ""model_refused"": true}",
anthropic/claude-sonnet-4.5,cal_bloated_correct,correct but 5x too long,length leniency — judges tend to forgive bloat,True,"[{""dimension"": ""conciseness"", ""expected"": [1, 3], ""got"": 1, ""ok"": true}, {""dimension"": ""instruction_following"", ""expected"": [1, 3], ""got"": 1, ""ok"": true}, {""dimension"": ""accuracy"", ""expected"": [4, 5], ""got"": 5, ""ok"": true}]","{""accuracy"": 5, ""hallucination_resistance"": 5, ""relevance"": 5, ""instruction_following"": 1, ""conciseness"": 1, ""task_completion"": 4, ""composite_score"": 3.5, ""model_refused"": false}",
anthropic/claude-sonnet-4.5,cal_terse_perfect_format,exact format compliance,baseline — minimal correct formatting should score high,True,"[{""dimension"": ""instruction_following"", ""expected"": [4, 5], ""got"": 5, ""ok"": true}, {""dimension"": ""conciseness"", ""expected"": [4, 5], ""got"": 5, ""ok"": true}]","{""accuracy"": 5, ""hallucination_resistance"": 5, ""relevance"": 5, ""instruction_following"": 5, ""conciseness"": 5, ""task_completion"": 5, ""composite_score"": 5.0, ""model_refused"": false}",
anthropic/claude-sonnet-4.5,cal_format_violation,ignores format instructions,"format checking — content right, structure wrong",True,"[{""dimension"": ""instruction_following"", ""expected"": [1, 3], ""got"": 1, ""ok"": true}]","{""accuracy"": 5, ""hallucination_resistance"": 5, ""relevance"": 5, ""instruction_following"": 1, ""conciseness"": 2, ""task_completion"": 2, ""composite_score"": 3.33, ""model_refused"": false}",
anthropic/claude-sonnet-4.5,cal_off_topic,fluent but off-topic,relevance — polished prose that dodges the question,True,"[{""dimension"": ""relevance"", ""expected"": [1, 2], ""got"": 1, ""ok"": true}, {""dimension"": ""task_completion"", ""expected"": [1, 2], ""got"": 1, ""ok"": true}]","{""accuracy"": 1, ""hallucination_resistance"": 3, ""relevance"": 1, ""instruction_following"": 5, ""conciseness"": 2, ""task_completion"": 1, ""composite_score"": 2.17, ""model_refused"": false}",
