prompt_id,model,accuracy,hallucination_resistance,relevance,instruction_following,conciseness,task_completion,composite_score,value_index,useful_density,consistency_score,rationale,notable_issues,one_line_verdict,judge_error
factual_q1,anthropic/claude-sonnet-4-5,4,5,4,5,4,4,4.333,4.3,1.086,0.856,Scores reflect quality against ground truth and task requirements.,none,"Accurate and thorough — strong choice for complex, high-stakes tasks.",
factual_q1,openai/gpt-4o-mini,1,5,1,1,5,1,2.33,1.0,0.0,0.9,Model refused or excessively hedged without completing the task.,refusal/over-hedging,Refused to answer — not useful for this task.,
factual_q1,google/gemini-2.0-flash-001,4,5,5,3,4,4,4.167,4.3,2.423,0.789,Scores reflect quality against ground truth and task requirements.,none,Excellent cost-efficiency — one of the best value-per-token models.,
factual_q1,deepseek/deepseek-chat,4,5,4,5,5,4,4.5,4.35,4.128,0.819,Scores reflect quality against ground truth and task requirements.,none,Good all-rounder with very low cost per answer.,
factual_q1,meta-llama/llama-3.3-70b-instruct,4,3,4,3,4,5,3.833,3.9,2.555,0.899,Scores reflect quality against ground truth and task requirements.,imprecise wording,Open-weight model with solid general capability.,
reasoning_q1,anthropic/claude-sonnet-4-5,5,4,4,5,4,4,4.333,4.35,1.494,0.899,Scores reflect quality against ground truth and task requirements.,none,"Accurate and thorough — strong choice for complex, high-stakes tasks.",
reasoning_q1,openai/gpt-4o-mini,4,3,4,4,4,5,4.0,4.0,3.478,0.736,Scores reflect quality against ground truth and task requirements.,slight hedge,Mostly accurate with minor imprecision; good value for simple tasks.,
reasoning_q1,google/gemini-2.0-flash-001,3,4,4,5,4,4,4.0,3.85,2.454,0.79,Scores reflect quality against ground truth and task requirements.,none,Excellent cost-efficiency — one of the best value-per-token models.,
reasoning_q1,deepseek/deepseek-chat,5,3,4,4,4,5,4.167,3.421,1.452,0.776,Scores reflect quality against ground truth and task requirements.,none,Strong reasoning at a fraction of frontier pricing.,
reasoning_q1,meta-llama/llama-3.3-70b-instruct,1,5,1,1,5,1,2.33,1.0,0.0,0.9,Model refused or excessively hedged without completing the task.,refusal/over-hedging,Refused to answer — not useful for this task.,
coding_q1,anthropic/claude-sonnet-4-5,4,5,5,5,3,4,4.333,4.45,1.459,0.819,Scores reflect quality against ground truth and task requirements.,none,"Accurate and thorough — strong choice for complex, high-stakes tasks.",
coding_q1,openai/gpt-4o-mini,3,4,4,4,4,2,3.5,3.35,2.448,0.852,Scores reflect quality against ground truth and task requirements.,minor verbosity,Mostly accurate with minor imprecision; good value for simple tasks.,
coding_q1,google/gemini-2.0-flash-001,1,5,1,1,5,1,2.33,1.0,0.0,0.9,Model refused or excessively hedged without completing the task.,refusal/over-hedging,Refused to answer — not useful for this task.,
coding_q1,deepseek/deepseek-chat,4,3,5,3,4,4,3.833,3.9,2.106,0.714,Scores reflect quality against ground truth and task requirements.,none,Strong reasoning at a fraction of frontier pricing.,
coding_q1,meta-llama/llama-3.3-70b-instruct,3,5,4,3,4,4,3.833,3.85,2.473,0.798,Scores reflect quality against ground truth and task requirements.,imprecise wording,Good budget option for volume tasks.,
hallucination_q1,anthropic/claude-sonnet-4-5,5,5,4,5,5,4,4.667,4.6,1.874,0.785,Scores reflect quality against ground truth and task requirements.,none,No fabricated facts; completes task fully with clear reasoning.,
