prompt_id,model,accuracy,hallucination_resistance,relevance,instruction_following,conciseness,task_completion,composite_score,value_index,useful_density,consistency_score,rationale,notable_issues,one_line_verdict,judge_error,model_refused,judge_confidence,judge_confidence_dims
factual_q1,deepseek/deepseek-chat,4,5,4,5,5,4,4.5,4.35,4.128,0.819,Scores reflect quality against ground truth and task requirements.,none,Good all-rounder with very low cost per answer.,,,,
factual_q1,meta-llama/llama-3.3-70b-instruct,4,3,4,3,4,5,3.833,3.9,2.555,0.899,Scores reflect quality against ground truth and task requirements.,imprecise wording,Open-weight model with solid general capability.,,,,
reasoning_q1,openai/gpt-4o-mini,4,3,4,4,4,5,4.0,4.0,3.478,0.736,Scores reflect quality against ground truth and task requirements.,slight hedge,Mostly accurate with minor imprecision; good value for simple tasks.,,,,
reasoning_q1,deepseek/deepseek-chat,5,3,4,4,4,5,4.167,3.421,1.452,0.776,Scores reflect quality against ground truth and task requirements.,none,Strong reasoning at a fraction of frontier pricing.,,,,
coding_q1,openai/gpt-4o-mini,3,4,4,4,4,2,3.5,3.35,2.448,0.852,Scores reflect quality against ground truth and task requirements.,minor verbosity,Mostly accurate with minor imprecision; good value for simple tasks.,,,,
coding_q1,deepseek/deepseek-chat,4,3,5,3,4,4,3.833,3.9,2.106,0.714,Scores reflect quality against ground truth and task requirements.,none,Strong reasoning at a fraction of frontier pricing.,,,,
coding_q1,meta-llama/llama-3.3-70b-instruct,3,5,4,3,4,4,3.833,3.85,2.473,0.798,Scores reflect quality against ground truth and task requirements.,imprecise wording,Good budget option for volume tasks.,,,,
hallucination_q1,openai/gpt-4o-mini,4,4,4,4,4,4,4.0,3.521,1.653,0.815,Scores reflect quality against ground truth and task requirements.,minor verbosity,Fast and concise — solid for everyday straightforward queries.,,,,
hallucination_q1,deepseek/deepseek-chat,4,4,4,4,4,4,4.0,4.0,1.762,0.793,Scores reflect quality against ground truth and task requirements.,none,Strong reasoning at a fraction of frontier pricing.,,,,
summarization_q1,openai/gpt-4o-mini,4,5,4,5,4,4,4.333,4.3,2.778,0.789,Scores reflect quality against ground truth and task requirements.,none,Fast and concise — solid for everyday straightforward queries.,,,,
summarization_q1,deepseek/deepseek-chat,5,4,4,4,3,4,4.0,4.2,1.347,0.841,Scores reflect quality against ground truth and task requirements.,none,Strong reasoning at a fraction of frontier pricing.,,,,
summarization_q1,meta-llama/llama-3.3-70b-instruct,4,3,3,4,4,3,3.5,3.4,3.07,0.816,Scores reflect quality against ground truth and task requirements.,none,Good budget option for volume tasks.,,,,
instruction_q1,openai/gpt-4o-mini,3,4,4,5,5,4,4.167,3.9,3.042,0.781,Scores reflect quality against ground truth and task requirements.,none,Efficient output but hedges slightly on nuanced edge cases.,,,,
instruction_q1,deepseek/deepseek-chat,4,4,5,4,4,4,4.167,2.597,1.828,0.794,Scores reflect quality against ground truth and task requirements.,none,Strong reasoning at a fraction of frontier pricing.,,,,
instruction_q1,meta-llama/llama-3.3-70b-instruct,3,4,4,5,5,5,4.333,4.1,1.892,0.811,Scores reflect quality against ground truth and task requirements.,none,Good budget option for volume tasks.,,,,
factual_q2,openai/gpt-4o-mini,4,3,4,4,5,5,4.167,4.05,4.252,0.82,Scores reflect quality against ground truth and task requirements.,none,Mostly accurate with minor imprecision; good value for simple tasks.,,,,
factual_q2,deepseek/deepseek-chat,5,4,5,3,4,4,4.167,3.346,1.781,0.797,Scores reflect quality against ground truth and task requirements.,imprecise wording,Good all-rounder with very low cost per answer.,,,,
factual_q2,meta-llama/llama-3.3-70b-instruct,3,4,3,4,4,4,3.667,2.645,1.183,0.693,Scores reflect quality against ground truth and task requirements.,none,Good budget option for volume tasks.,,,,
reasoning_q2,openai/gpt-4o-mini,5,4,5,5,4,5,4.667,4.092,2.31,0.735,Scores reflect quality against ground truth and task requirements.,none,Efficient output but hedges slightly on nuanced edge cases.,,,,
reasoning_q2,deepseek/deepseek-chat,4,4,5,4,5,3,4.167,4.05,1.641,0.902,Scores reflect quality against ground truth and task requirements.,none,Strong reasoning at a fraction of frontier pricing.,,,,
reasoning_q2,meta-llama/llama-3.3-70b-instruct,4,4,4,2,4,3,3.5,3.6,2.147,0.696,Scores reflect quality against ground truth and task requirements.,minor verbosity,Good budget option for volume tasks.,,,,
coding_q2,deepseek/deepseek-chat,5,4,4,4,4,4,4.167,4.25,2.495,0.763,Scores reflect quality against ground truth and task requirements.,none,Strong reasoning at a fraction of frontier pricing.,,,,
