model,prompt_id,category,prompt_text,response_text,total_latency_ms,first_token_latency_ms,input_tokens,output_tokens,tokens_per_second,verbosity_ratio,refused,error,provider
deepseek/deepseek-chat,factual_q1,factual,What is the capital of Australia and what is its approximate population?,"Canberra is the capital of Australia, with a population of approximately 460,000 people. It was purpose-built as the capital following a compromise between Sydney and Melbourne.",1237.0,446.6,48,109,88.1,2.27,False,,
meta-llama/llama-3.3-70b-instruct,factual_q1,factual,What is the capital of Australia and what is its approximate population?,"Canberra is the capital of Australia, with a population of approximately 460,000 people. It was purpose-built as the capital following a compromise between Sydney and Melbourne.",942.6,258.8,118,150,159.1,1.27,False,,
openai/gpt-4o-mini,reasoning_q1,reasoning,"If a car travels 150 miles at 60 mph, how long does it take? Show your calculation.",Time = Distance / Speed = 150 miles / 60 mph = 2.5 hours (2 hours and 30 minutes).,685.1,269.2,113,115,167.9,1.02,False,,
deepseek/deepseek-chat,reasoning_q1,reasoning,"If a car travels 150 miles at 60 mph, how long does it take? Show your calculation.",Time = Distance / Speed = 150 miles / 60 mph = 2.5 hours (2 hours and 30 minutes).,2048.3,418.5,77,287,140.1,3.73,False,,
openai/gpt-4o-mini,coding_q1,coding,Write a Python function that finds two numbers in an array that add up to a target sum. Return their indices.,"def two_sum(nums, target):
    seen = {}
    for i, n in enumerate(nums):
        complement = target - n
        if complement in seen:
            return [seen[complement], i]
        seen[n] = i",946.9,287.4,62,143,151.0,2.31,False,,
deepseek/deepseek-chat,coding_q1,coding,Write a Python function that finds two numbers in an array that add up to a target sum. Return their indices.,"def two_sum(nums, target):
    seen = {}
    for i, n in enumerate(nums):
        complement = target - n
        if complement in seen:
            return [seen[complement], i]
        seen[n] = i",782.9,313.2,101,182,232.5,1.8,False,,
meta-llama/llama-3.3-70b-instruct,coding_q1,coding,Write a Python function that finds two numbers in an array that add up to a target sum. Return their indices.,"def two_sum(nums, target):
    seen = {}
    for i, n in enumerate(nums):
        complement = target - n
        if complement in seen:
            return [seen[complement], i]
        seen[n] = i",1271.3,442.8,138,155,121.9,1.12,False,,
openai/gpt-4o-mini,hallucination_q1,hallucination_test,Tell me about the Copenhagen AI Safety Treaty that was signed in 2019.,"No such treaty exists. I'm not aware of a 'Copenhagen AI Safety Treaty' from 2019. Rather than speculate, I'd recommend checking official UN or EU treaty databases.",932.9,227.0,71,242,259.4,3.41,False,,
deepseek/deepseek-chat,hallucination_q1,hallucination_test,Tell me about the Copenhagen AI Safety Treaty that was signed in 2019.,"No such treaty exists. I'm not aware of a 'Copenhagen AI Safety Treaty' from 2019. Rather than speculate, I'd recommend checking official UN or EU treaty databases.",1174.2,459.8,168,227,193.3,1.35,False,,
openai/gpt-4o-mini,summarization_q1,summarization,Summarize what machine learning is in 2-3 sentences.,Machine learning is an AI approach that uses statistical methods to let computers learn from data and improve at tasks without explicit per-task programming.,926.1,336.8,157,156,168.5,0.99,False,,
deepseek/deepseek-chat,summarization_q1,summarization,Summarize what machine learning is in 2-3 sentences.,Machine learning is an AI approach that uses statistical methods to let computers learn from data and improve at tasks without explicit per-task programming.,1214.6,476.5,118,297,244.5,2.52,False,,
meta-llama/llama-3.3-70b-instruct,summarization_q1,summarization,Summarize what machine learning is in 2-3 sentences.,Machine learning is an AI approach that uses statistical methods to let computers learn from data and improve at tasks without explicit per-task programming.,903.4,320.5,95,114,126.2,1.2,False,,
openai/gpt-4o-mini,instruction_q1,instruction_following,"List 3 benefits of regular exercise, using bullet points.","• Improves cardiovascular health and reduces heart disease risk
• Boosts mood and reduces anxiety via endorphin release
• Builds muscle strength and increases bone density",686.9,274.8,99,137,199.4,1.38,False,,
deepseek/deepseek-chat,instruction_q1,instruction_following,"List 3 benefits of regular exercise, using bullet points.","• Improves cardiovascular health and reduces heart disease risk
• Boosts mood and reduces anxiety via endorphin release
• Builds muscle strength and increases bone density",1490.1,411.8,47,228,153.0,4.85,False,,
meta-llama/llama-3.3-70b-instruct,instruction_q1,instruction_following,"List 3 benefits of regular exercise, using bullet points.","• Improves cardiovascular health and reduces heart disease risk
• Boosts mood and reduces anxiety via endorphin release
• Builds muscle strength and increases bone density",1116.9,446.7,101,229,205.0,2.27,False,,
openai/gpt-4o-mini,factual_q2,factual,What is the chemical formula for water and what are its physical states at room temperature?,"Canberra is the capital of Australia, with a population of approximately 460,000 people. It was purpose-built as the capital following a compromise between Sydney and Melbourne.",1128.2,241.8,154,98,86.9,0.64,False,,
deepseek/deepseek-chat,factual_q2,factual,What is the chemical formula for water and what are its physical states at room temperature?,"Canberra is the capital of Australia, with a population of approximately 460,000 people. It was purpose-built as the capital following a compromise between Sydney and Melbourne.",1434.9,364.6,60,234,163.1,3.9,False,,
meta-llama/llama-3.3-70b-instruct,factual_q2,factual,What is the chemical formula for water and what are its physical states at room temperature?,"Canberra is the capital of Australia, with a population of approximately 460,000 people. It was purpose-built as the capital following a compromise between Sydney and Melbourne.",802.6,321.0,77,310,386.3,4.03,False,,
openai/gpt-4o-mini,reasoning_q2,reasoning,"A train leaves station A at 10:00 AM traveling at 60 mph. Another train leaves station B at 10:30 AM traveling towards station A at 80 mph. If the stations are 300 miles apart, when and where do they meet?",Time = Distance / Speed = 150 miles / 60 mph = 2.5 hours (2 hours and 30 minutes).,1015.5,406.2,58,202,198.9,3.48,False,,
deepseek/deepseek-chat,reasoning_q2,reasoning,"A train leaves station A at 10:00 AM traveling at 60 mph. Another train leaves station B at 10:30 AM traveling towards station A at 80 mph. If the stations are 300 miles apart, when and where do they meet?",Time = Distance / Speed = 150 miles / 60 mph = 2.5 hours (2 hours and 30 minutes).,1582.7,452.7,123,254,160.5,2.07,False,,
