judge_model,response_key,trial,accuracy,hallucination_resistance,relevance,instruction_following,conciseness,task_completion,composite_score,judge_error
anthropic/claude-sonnet-4.5,anthropic/claude-opus-4.8-fast::agentic_q1,0,5,5,5,5,5,5,5.0,
anthropic/claude-sonnet-4.5,anthropic/claude-opus-4.8-fast::agentic_q1,1,5,5,5,5,5,5,5.0,
anthropic/claude-sonnet-4.5,anthropic/claude-opus-4.8-fast::agentic_q1,2,5,5,5,5,5,5,5.0,
anthropic/claude-sonnet-4.5,anthropic/claude-opus-4.8-fast::coding_q1,0,5,5,5,5,4,5,4.83,
anthropic/claude-sonnet-4.5,anthropic/claude-opus-4.8-fast::coding_q1,1,5,5,5,5,4,5,4.83,
anthropic/claude-sonnet-4.5,anthropic/claude-opus-4.8-fast::coding_q1,2,5,5,5,5,4,5,4.83,
anthropic/claude-sonnet-4.5,anthropic/claude-opus-4.8-fast::factual_q1,0,5,5,5,5,4,5,4.83,
anthropic/claude-sonnet-4.5,anthropic/claude-opus-4.8-fast::factual_q1,1,5,5,5,5,4,5,4.83,
anthropic/claude-sonnet-4.5,anthropic/claude-opus-4.8-fast::factual_q1,2,5,5,5,5,4,5,4.83,
anthropic/claude-sonnet-4.5,anthropic/claude-opus-4.8-fast::hallucination_q1,0,5,5,5,5,4,5,4.83,
anthropic/claude-sonnet-4.5,anthropic/claude-opus-4.8-fast::hallucination_q1,1,5,5,5,5,4,5,4.83,
anthropic/claude-sonnet-4.5,anthropic/claude-opus-4.8-fast::hallucination_q1,2,5,5,5,5,4,5,4.83,
anthropic/claude-sonnet-4.5,anthropic/claude-opus-4.8-fast::instruction_q1,0,5,5,5,5,4,5,4.83,
anthropic/claude-sonnet-4.5,anthropic/claude-opus-4.8-fast::instruction_q1,1,5,5,5,5,4,5,4.83,
anthropic/claude-sonnet-4.5,anthropic/claude-opus-4.8-fast::instruction_q1,2,5,5,5,5,4,5,4.83,
