model,prompt_id,category,prompt_text,response_text,total_latency_ms,first_token_latency_ms,input_tokens,output_tokens,tokens_per_second,verbosity_ratio,refused,error
anthropic/claude-sonnet-4-5,factual_q1,factual,What is the capital of Australia and what is its approximate population?,"Canberra is the capital of Australia, with a population of approximately 460,000 people. It was purpose-built as the capital following a compromise between Sydney and Melbourne.",2323.5,560.6,144,399,171.7,2.77,False,
openai/gpt-4o-mini,factual_q1,factual,What is the capital of Australia and what is its approximate population?,,923.2,292.4,160,0,0.0,0.0,True,refused
google/gemini-2.0-flash-001,factual_q1,factual,What is the capital of Australia and what is its approximate population?,"Canberra is the capital of Australia, with a population of approximately 460,000 people. It was purpose-built as the capital following a compromise between Sydney and Melbourne.",918.1,221.8,121,172,187.3,1.42,False,
deepseek/deepseek-chat,factual_q1,factual,What is the capital of Australia and what is its approximate population?,"Canberra is the capital of Australia, with a population of approximately 460,000 people. It was purpose-built as the capital following a compromise between Sydney and Melbourne.",1237.0,446.6,48,109,88.1,2.27,False,
meta-llama/llama-3.3-70b-instruct,factual_q1,factual,What is the capital of Australia and what is its approximate population?,"Canberra is the capital of Australia, with a population of approximately 460,000 people. It was purpose-built as the capital following a compromise between Sydney and Melbourne.",942.6,258.8,118,150,159.1,1.27,False,
anthropic/claude-sonnet-4-5,reasoning_q1,reasoning,"If a car travels 150 miles at 60 mph, how long does it take? Show your calculation.",Time = Distance / Speed = 150 miles / 60 mph = 2.5 hours (2 hours and 30 minutes).,1464.5,585.8,111,290,198.0,2.61,False,
openai/gpt-4o-mini,reasoning_q1,reasoning,"If a car travels 150 miles at 60 mph, how long does it take? Show your calculation.",Time = Distance / Speed = 150 miles / 60 mph = 2.5 hours (2 hours and 30 minutes).,685.1,269.2,113,115,167.9,1.02,False,
google/gemini-2.0-flash-001,reasoning_q1,reasoning,"If a car travels 150 miles at 60 mph, how long does it take? Show your calculation.",Time = Distance / Speed = 150 miles / 60 mph = 2.5 hours (2 hours and 30 minutes).,847.6,214.0,96,163,192.3,1.7,False,
deepseek/deepseek-chat,reasoning_q1,reasoning,"If a car travels 150 miles at 60 mph, how long does it take? Show your calculation.",Time = Distance / Speed = 150 miles / 60 mph = 2.5 hours (2 hours and 30 minutes).,2048.3,418.5,77,287,140.1,3.73,False,
meta-llama/llama-3.3-70b-instruct,reasoning_q1,reasoning,"If a car travels 150 miles at 60 mph, how long does it take? Show your calculation.",,758.2,303.3,43,0,0.0,0.0,True,refused
